Date,Stock,Open,High,Low,Last,Close,Total Trade Quantity,Turnover (Lacs),sma_short,sma_long,signal,buy_sell_qty,buy_sell_qty_value,positions_carry_qty,position_carry_val,stock_value,cash,position_total,portfolio_returns,mkt_returns
2004-09-29,TCS,1019.25,1033.0,1016.15,1031.0,1031.0,1467147.0,15032.54,1012.4849999999999,1005.4634615384615,0.0,0.0,0.0,1.0,1048.4,1031.0,-48.40000000000009,982.5999999999999,1.5974771235072183,1.521343114568463
2004-09-30,TCS,1035.6,1040.9,1020.65,1025.1,1027.1,1565179.0,16163.97,1014.1574999999997,1006.2648148148147,0.0,0.0,0.0,1.0,1048.4,1027.1,-48.40000000000009,978.6999999999998,-0.3969061673112284,-0.3782735208535448
2004-10-01,TCS,1029.0,1056.45,1026.35,1048.5,1047.7,1371111.0,14308.62,1016.6499999999999,1007.7446428571428,0.0,0.0,0.0,1.0,1048.4,1047.7,-48.40000000000009,999.3,2.1048329416573086,2.0056469671891897
2004-10-04,TCS,1057.0,1081.0,1054.45,1079.2,1076.5,1891228.0,20271.86,1020.7324999999998,1010.1155172413793,0.0,0.0,0.0,1.0,1048.4,1076.5,-48.40000000000009,1028.1,2.88201741218852,2.7488784957526047
2004-10-05,TCS,1080.3,1089.0,1075.5,1077.05,1080.7,1792661.0,19422.48,1024.9875,1012.4683333333334,0.0,0.0,0.0,1.0,1048.4,1080.7,-48.40000000000009,1032.3,0.4085205719287943,0.39015327450069304
2004-10-06,TCS,1081.0,1102.8,1075.05,1082.0,1081.6,2208833.0,24078.13,1029.3825,1014.6983870967741,0.0,0.0,0.0,1.0,1048.4,1081.6,-48.40000000000009,1033.1999999999998,0.087183958151682,0.08327935597296499
2004-10-07,TCS,1083.0,1100.0,1083.0,1099.6,1097.1,1260016.0,13774.37,1035.2399999999998,1017.2734374999999,0.0,0.0,0.0,1.0,1048.4,1097.1,-48.40000000000009,1048.6999999999998,1.5001935733643057,1.4330621301775093
2004-10-08,TCS,1098.0,1111.0,1095.0,1097.8,1098.05,1069865.0,11803.19,1040.7024999999999,1019.721212121212,0.0,0.0,0.0,1.0,1048.4,1098.05,-48.40000000000009,1049.6499999999999,0.09058834747783795,0.08659192416371475
2004-10-09,TCS,1099.9,1103.85,1094.25,1103.0,1100.65,258539.0,2843.38,1045.56,1022.1014705882352,0.0,0.0,0.0,1.0,1048.4,1100.65,-48.40000000000009,1052.25,0.2477016148239919,0.23678338873458493
2004-10-11,TCS,1100.0,1111.5,1085.0,1089.6,1089.3,1166507.0,12820.16,1049.2424999999998,1024.0214285714285,0.0,0.0,0.0,1.0,1048.4,1089.3,-48.40000000000009,1040.8999999999999,-1.0786410073651775,-1.0312088311452472
